ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
г. Красногорск, ул. Ново-Никольская, д. 38а;55.839077;37.255947
г. Краснознаменск, ул. Победы, д. 9а;55.598105;37.036039
г.Лобня, ул.Физкультурная, д.6;56.006059;37.450576
г. Лобня, ул.Чехова, д.4а;56.015751;37.479776
г.Люберцы, пос.Калинина, д.50;55.689212;37.876449
г. Люберцы, ул. Барыкина, д. 7, корп. 1;55.709322;37.955555
г. Люберцы, ул. Камова д.6 к.1;55.697092;37.957603
г. Люберцы, ул. Смирновская, д. 16;55.67972565;37.89497375
МО, г. Люберцы ул. Урицкого 14;55.700233;37.892412
г. Можайск, ул. Мира, д.2;55.504308;36.029953
г. Московский, 3-й мкр , д. 3;55.5966;37.341682
МО, г. Мытищи, Осташковское шоссе, 22к5;55.964412;37.671093
г.Мытищи, Шараповский пр-д, д.1;55.915472;37.760791
г.Мытищи, Новомытищинский пр., д.21;55.908303;37.735324
г. Мытищи, ул. Мира д.32,а;55.919342;37.724247
г. Наро-Фоминск, пл. Свободы д. 2, корп. 7;55.386881;36.73354
г.Нахабино, ул.Красноармейская, д.5Б;55.849049;37.181737
г. Ногинск, Набережная 60-летия Октября, д. 4а;55.860453;38.437896
г. Ногинск, ул. 3-го Интернационала, д.72;55.854977;38.437941
г. Одинцово, Рябиновая 1к1;55.654731;37.266493
г. Одинцово, ул. Чикина, д. 1а;55.683716;37.293837
МО, г. Орехово-Зуево, ул. Карла Либкнехта д.7;55.801243;38.976113
Москва, Горки 10, д.19а;55.704098;37.02313
г. Подольск, 65 летия Победы б-р, д.12/2;55.420025;37.480112
г. Подольск, Рязановское шоссе, д.19;55.472515;37.549175
г. Подольск, ул. Барамзиной, д.3 к.2;55.434742;37.559918
г. Подольск, ул. Садовая, д. 3/2;55.451058;37.548007
г. Пушкино, пр-т. Московский, д. 14;56.009874;37.847532
г. Пушкино, ул. Набережная д.35 к.7;56.020084;37.860602
г. Раменское, ул. Гурьева, д.11/2;55.566914;38.236485
г. Раменское, ул.Чугунова, д.41;55.579546;38.202142
г. Реутов, пр-т Юбилейный, д.47;55.752561;37.876404
г. Реутов, ул. Новая, д.2;55.75703;37.852383
г. Реутов, ул. Реутовских Ополченцев, д. 2;55.771287;37.846831
г.Ржавки, 2й мкр, с 20 МТРК Зеленопарк;55.998781;37.258686
МО, г.Руза, ул. Федеративная 13/1;55.705113;36.193186
г.Сергиев Посад, ул.1-я Рыбная, д.19/22;56.3047;38.137032
г.Сергиев Посад, ул.Инженерная, д.8;56.324506;38.141802
г. Серпухов, ул.Ворошилова, д. 58;54.917257;37.421731
г. Серпухов, ул. Фрунзе, д.12;54.929917;37.45725
г. Солнечногорск, ул.Баранова, д.12А;56.185322;36.98585
г. Солнцево, ул. Главмосстроя, д. 7;55.65388107;37.4071846
г.Химки, ул.Октябрьская, д.4а;55.949314;37.298365
г. Троицк, ул. Нагорная, д.10;55.492457;37.298994
г.Фрязино, пр. Мира, д.20;55.954793;38.05913
г. Химки, пр-т Мира, д. 18/5;55.899855;37.454007
г.Химки, Юбилейный пр., д.50;55.887836;37.416682
г. Химки, ул. 9 Мая, д. 10в;55.902641;37.414382
г. Химки, ул. Библиотечная, д.22;55.894606;37.48013
г. Химки, ул. Германа Титова, д. 4;55.916623;37.410421
г. Химки, ул.Московская, д.7/1;55.892006;37.448222
г. Чехов, ул.Чехова, д.79;55.141506;37.457304
МО, г. Щёлково, мкрн. Богородский д. 5;55.938178;37.974832
г. Щелково, ул. Комсомольская, д. 7, корп. 1а;55.929086;37.995558
г. Щелково, ул. Центральная, д. 17;55.918767;37.984642
г. Щербинка, у. Маршала Савицкого, д. 6, корп. 1;55.504822;37.578702
г. Электросталь, ул.Карла Маркса, д.30;55.797645;38.4656
г. Электросталь, ул. Корешкова, д.3;55.784633;38.447382
г. Электросталь, ул.Мира, д.21;55.774634;38.448685
Москва, Боброво, ул. Лесная, д.24к1, пом. 4;55.530735;37.617914
Москва, д. Брехово, мкр. Школьный, корп 12, пом. 2;55.927079;37.198598
Москва, Бутово Бутово-парк 18;55.54563;37.589428
Москва, д.Дрожжино, ул. Новое шоссе, д.11;55.527362;37.588185
Москва, 141551, МО, дер. Голубое, ул. Трехсвятская, с2М;55.981419;37.104194
Москва, МО, д. Мисайлово, Литературный б-р, д. 5;55.558921;37.812246
Москва, Дмитровское ш. 169 корп. 6;55.928975;37.540793
Москва, д. Путилково, Спасо-Тушинский б-р, д.2;55.87395;37.399946
Москва, МО, п. Богородское, д. 62;56.494724;38.176091
Москва, МО, п. Глебовский, ул. Микрорайон, павильон у дома 1;55.938249;36.70951
Москва, Павловский Посад, пер. Дзержинского, д.1;55.779491;38.649808
Москва, пос.Коммунарка, ул.Липовый парк, д.6;55.569708;37.490389
Москва, МО, Красково, Егорьевское ш., д.1, к.1;55.663608;37.997748
Москва, 140030, МО, Малаховка, Рельсовая ул. 3А;55.644653;38.00913
Москва, МО, п. Монино, ул. Московская, 2;55.843288;38.196249
Москва, Развилка, дом 45.;55.590043;37.762695
Москва, пр-д Дежнева, д.23б;55.87041;37.63756
Москва, Кутузовский проезд д.4;55.739255;37.52483
Москва, Новотушинский пр-д, д.6, корп.1;55.837098;37.382984
Москва, Чечерский проезд, д. 122, к. 1;55.525481;37.514778
Москва, Чечёрский проезд, д.56, к.1;55.53292465;37.52724075
Москва, пр. 60-летия октября 18 к. 1;55.689725;37.574211
Москва, пр-т Балаклавский, д. 5а;55.640217;37.608767
Москва, пр. Боголюбова,16;56.738749;37.167128
Москва, пр. Вернадского, д.11/19;55.688741;37.528882
Москва, Волгоградский пр., д.135, корп.1;55.705295;37.773134
Москва, пр-т.Лермонтовский, д.8, корп.1;55.701452;37.849744
129626, Москва, пр-т Мира, 112;55.806048;37.637322
Москва, Мичуринский пр-т., д.26;55.699989;37.501746
Москва, Нахимовский пр. 11/1;55.663512;37.605391
Москва, пр-т.Рязанский, д.48;55.715966;37.793157
Москва, Свободный пр-т., д.16;55.753124;37.817115
Москва, 140070, МО, Томилино, ул. Гоголя, д. 36;55.667696;37.952527
Москва, р.п. Селятино, ул. Спортивная, д.5/1;55.517006;36.9832
Москва, с. Молоково, Ново-Молоковский б-р, д.10;55.563106;37.853272
Москва, с. Немчиновка, Советский пр., д.104;55.726822;37.352947
Москва, ул.1-ая Аэропортовая, д.6;55.80163;37.536695
Москва, 1-я Останкинская д.23;55.824369;37.622378
Москва, 143700, МО, Шаховская, 1-я Советская 26;56.030643;35.514266
Москва, ул. 2-я Владимирская, д. 42;55.749461;37.784767
Москва, 6-я Нововатутинская ул., д.1;55.515156;37.352462
Москва, 7-я Кожуховская ул., д.9;55.710687;37.6751
Москва, ул. 9-я Парковая, д.59, корп.2;55.808016;37.79794
Москва, ул. Академика Янгеля, д.2;55.595886;37.598906
Москва, ул. Александры Монаховой, д.101;55.540475;37.492644
Москва, ул. Андропова, д.30;55.678801;37.662713
Москва, ул. Барклая, д.12;55.74484;37.498833
Москва, ул. Бауманская, д.33/2,  стр.3;55.772746;37.679347
Москва, ул. Бауманская д.50/12 с1.;55.76956;37.678999
Москва, Бирюлевская, 38, стр. 3;55.588412;37.6643
Москва, ул.Большая Черкизовская, д.5, корп.1;55.797402;37.720447
Москва, Борисовские пруды,д. 10/6;55.632769;37.742097
Москва, ул. Ботаническая, д.29, корп.1;55.833865;37.593848
Москва, ул. Братиславская, д.15, корп.1;55.660325;37.759123
111539, Москва, Вешняковская, 17б;55.734565;37.831525
Москва, ул. Воронежская, д.44, корп.1;55.610158;37.747927
Москва, Мск, Гиляровского, д. 40;55.783109;37.632763
Москва, ул. Городецкая, д.3;55.744019;37.866558
Москва, ул. Грекова, д.4;55.885919;37.662228
Москва, ул. Гришина, д.25;55.725448;37.414194
Москва, ул. Днепропетровская, д.3, корп.1;55.621673;37.604574
Москва, ул. Дубнинская, д.15, корп.1;55.860494;37.56733
Москва, ул.Енисейская, д.17, корп.1;55.867403;37.662461
Москва, ул.Зои и Александра Космодемьянских, д.10;55.820268;37.509837
Москва, ул. Кастанаевская, д.54;55.734314;37.4685
Москва, ул. Киевская, д.20;55.739217;37.547695
Москва, 143132, МО, Тучково, ул. Кирова, д. 1;55.600277;36.472409
Москва, ул. Красного Маяка, д.4;55.611996;37.600661
Москва, ул. Краснодарская, д.32;55.677484;37.755491
Москва, Мск, ул. Краснопрудная 22-24;55.778715;37.665309
Москва, 140060, МО, Мирный, Крымская ул. 12, к. 11;55.624728;37.949581
Москва, ул. Летчика Ульянина, д.4;55.624967;37.30654
Москва, 123458, Раздоры, Липовой Рощи, 1к1;55.79899;37.37746
Москва, ул. Маршала Захарова, д.3;55.622766;37.706353
Москва, Маршала Мерецкова 4;55.793748;37.490299
Москва, ул. Мастеркова, д.1;55.709789;37.658607
Москва, ул. Митинская, д.52;55.852137;37.354582
Москва, ул. Михалковская, д. 1/51;55.836534;37.537299
Москва, ул. Нагатинская, д.2а;55.681453;37.62484
Москва, ул. Народного Ополчения, д.21, корп.1;55.77753;37.477282
Москва, ул.Новомарьинская, д.4;55.651079;37.748987
Москва, ул. Первомайская, д. 44/20;55.792943;37.788725
Москва, ул.Первомайская, 89, п.2;55.793527;37.804654
111524, Москва, Плющева 8;55.884898;37.608544
Москва, ул. Пушкина, д. 11А;55.810961;38.971235
Москва, ул. Рабочая, д.3/5;55.745498;37.681838
Москва, ул. Рождественская 31;55.705914;37.931722
Москва, ул. Рудневка, д.9;55.71586;37.882926
Москва, Соларьевская 8 к.1;55.619599;37.417167
Москва, ул. Сельскохозяйственная, д.17, корп.1;55.837414;37.636356
Москва, ул.Скобелевская, д.20;55.546053;37.555445
Москва, ул.Смольная, д.24А;55.860509;37.483229
Москва, Снежная 16/1;55.851161;37.646013
Москва, Соколово-Мещерская, 25;55.903384;37.384777
Москва, Софьи Ковалевской, д.6;55.881187;37.53323
Москва, ул.Сущевская, д.13/15;55.780942;37.6016
Москва, ул. Сущевский вал, д.63;55.793308;37.620501
Москва, ул. Сходненская, д.31;55.847437;37.438888
Москва, ул. Таганская, д.31/22;55.73973846;37.6695137
119634, Москва, ул. Федосьино 12;55.638323;37.337711
Москва, ул. Фомичевой, д.16, корп.5;55.85912;37.437622
Москва, ул.Череповецкая, д.15;55.8993454;37.58494568
Москва, ул.Шарикоподшипниковская, д.32;55.716392;37.676214
Москва, ул. Шоссейная, д.3;55.690567;37.728559
Москва, ул. Южнопортовая, д.18;55.706218;37.684712
Москва, ул. Ярцевская, д. 19;55.738779;37.411912
Москва, Алтуфьевское ш., д.78;55.892355;37.588754
Москва, Косинское шоссе, 7;55.720038;37.973548
Москва, Открытое ш., д. 5, корп.13;55.814705;37.731856
Москва, Хорошевское ш., д.90;55.77793;37.515425
Москва, Шоссе Энтузиастов 11;55.753261;37.714411
Санкт-Петербург, 11-я линия В.О.,д.30;59.941082;30.273972
Санкт-Петербург, 1-я линия В.О.,д.42;59.94472;30.28634
Санкт-Петербург,  2-ая Советская, д.19;59.931494;30.368545
Санкт-Петербург, 8-я Советская,д.43/20;59.9348;30.37852
Санкт-Петербург, аллея Поликарпова, д. 2;60.006312;30.295797
Санкт-Петербург, Липовая аллея, 11а;59.985791;30.256822
г.Всеволожск,пр-т.Октябрьский,д.77;60.019238;30.645151
г. Гатчина, ул. Генерала Кныша, д.15;59.558354;30.099141
г. Зеленогорск, ул. Ленина, д. 23;60.199307;29.705922
г. Кировск, Набережная ул., д. 5;59.886036;30.98832
г.Кронштадт, ул.Гражданская, д.7/11;59.997919;29.766557
г. Кудрово, пр-т Европейский, д. 5;59.899572;30.51131
г. Кудрово, ул. Ленинградская, д. 7;59.914157;30.512841
г. Рощино, ул. Советская, д. 6;60.25782;29.599515
г. Сертолово, ул. Сосновая, д.4;60.14323425;30.2102623
г.Сестрорецк, ул.Токарева, д.1;60.085972;29.956232
Санкт-Петербург, д.Новое Девяткино, ул.Главная, д.56;60.058139;30.480141
Санкт-Петербург, Муринская дорога , 61к1;60.034906;30.454496
Санкт-Петербург, пос. Мурино, пр-т Авиаторов Балтики, д. 11;60.055323;30.439991
"Санкт-Петербург, пос.Мурино,ул.Вокзальная, автовокзал ""Северный""";60.051046;30.444883
Санкт-Петербург, пос. Мурино, ул. Шувалова, д.15;60.05922;30.429514
Санкт-Петербург, пос. Мурино, ул.Шувалова, д.5;60.053107;30.424692
Санкт-Петербург, пос.Парголово, ул.Фёдора Абрамова, д.16;60.077764;30.342178
Санкт-Петербург, пр-т. Авиаконструкторов, д.4, корп.1;60.01101;30.244531
Санкт-Петербург, пр-т. Большой П.С., д.5;59.953841;30.292847
Санкт-Петербург, пр-т.Гражданский, д.117,корп.1;60.032562;30.418355
Санкт-Петербург, пр-т.Гражданский, д.49,корп.1;60.01441106;30.4007417
Санкт-Петербург, пр-т.Индустриальный, д.26/24;59.94771;30.474275
Санкт-Петербург, пр-т.Испытателей, д.6,корп.1;60.003265;30.292125
Санкт-Петербург, пр-т.Каменноостровский, д.42б;59.968062;30.308796
Санкт-Петербург, пр-т.Кондратьевский, д.62,корп.2;59.980689;30.394781
Санкт-Петербург, пр-т.Королёва,д.61а;60.031207;30.243419
Санкт-Петербург, пр-т.Костромской,д.27;60.01785;30.317314
Санкт-Петербург, пр-т.Косыгина, д.30а;59.945657;30.497025
Санкт-Петербург, пр-т.Лесной д.61,корп.3;59.98476;30.345601
Санкт-Петербург, пр-т.Луначарского, д.11,корп1;60.042961;30.32857
Санкт-Петербург, Малый П.С., 59;59.963377;30.302322
Санкт-Петербург, пр-т.Металлистов, д.116;59.971388;30.396657
Санкт-Петербург, пр-т.Науки, д.12;60.014454;30.393792
Санкт-Петербург, пр-т.Науки, д.24,корп.1;60.009314;30.414134
Санкт-Петербург, пр-т.Новоколомяжский, д.11;60.028518;30.294366
Санкт-Петербург, пр-т.Новочеркасский, д. 41/14;59.92887497;30.41013145
Санкт-Петербург, пр-т.Пискаревский, д.40;59.985025;30.425157
Санкт-Петербург, пр-т.Просвещения, д.30,корп.1;60.054735;30.328001
Санкт-Петербург, пр-т.Просвещения, д.68,корп.1;60.04441;30.378487
Санкт-Петербург, пр-т.Светлановский, д.66а;60.040377;30.398504
Санкт-Петербург, пр-т.Среднеохтинский, д.23;59.95279;30.415357
Санкт-Петербург, пр-т.Среднеохтинский,д.51/13а;59.95858;30.415909
Санкт-Петербург, пр-т.Суворовский,д.56а;59.944594;30.386107
Санкт-Петербург, пр-т.Тореза, д.9;60.000493;30.365032
Санкт-Петербург, пр-т.Ударников д.30, корп.1;59.951854;30.472495
Санкт-Петербург, пр-т.Художников,д.24,корп.1;60.04658;30.351414
Санкт-Петербург, пр-т.Энгельса, д.115,корп.1;60.038372;30.326135
Санкт-Петербург, пр-т.Энгельса,д.62;60.016217;30.322084
Санкт-Петербург, Юнтоловский проспект д51к1;60.033283;30.143239
Санкт-Петербург, Янино, Голландская д.6;59.949861;30.574233
Санкт-Петербург, ул.Байконурская, д.15;60.002655;30.275519
Санкт-Петербург, ул.Восстания,д.10/51а;59.935498;30.359895
Санкт-Петербург, ул.Гаванская, д.44;59.937955;30.236613
Санкт-Петербург, ул.Есенина,д.32,корп.1;60.052152;30.340977
Санкт-Петербург, ул.Ильюшина, д.1корп.1;60.007826;30.255677
Санкт-Петербург, ул.Кирочная,д.27;59.943683;30.363075
Санкт-Петербург, Ковалевская д.26;59.979332;30.512477
Санкт-Петербург, ул.Кораблестроителей, д.31а, корп.6;59.954511;30.219766
Санкт-Петербург, ул.Мебельная, д.35, корп 2;59.99543;30.199123
Санкт-Петербург, ул.Наличная, д.40,корп.1;59.949907;30.231903
Санкт-Петербург, ул.Савушкина, д.118;59.986994;30.213678
Санкт-Петербург, ул. Садовая, д. 13-15;59.934898;30.335074
Санкт-Петербург, ул.Смолячкова,д.12а;59.971033;30.343116
Санкт-Петербург, ул.Тимуровская, д.30а;60.042101;30.414503
Санкт-Петербург, ул.Торжковская, д.6;59.988869;30.308872
Санкт-Петербург, ул.Туристская,д22а;59.999443;30.207472
Санкт-Петербург, ул.Уточкина, д.2,корп.1;60.009935;30.261547
Санкт-Петербург, ул.Учительская, д.9,корп.1;60.033746;30.393033
Санкт-Петербург, ул.Фёдора Абрамова, д.4 (восточное крыло);60.070859;30.336176
Абакан, ул.Щетинкина д.76;53.732611;91.441193
Азов, Черноморский пер., д.66а;47.1041;39.401752
Аксай, ул.Платова, д.83г;47.268962;39.874095
Александров, ул.Ленина, д.7;56.397504;38.712583
Алушта, ул.Горького д.10;44.671994;34.408215
Анапа, ул.Ленина,д.153б;44.875717;37.327066
Ангарск, Микрорайон 12а, д.2в;52.510654;103.862675
Ангарск, ул.Горького, д.1;52.54203;103.899613
Апатиты, ул.Бредова д.2а;67.560501;33.409334
г. Апрелевка, ул. Островского, д.38;55.540918;37.082823
Астрахань, Аксакова, 2;46.400459;48.096824
414024, Астрахань, Бакинская, д.4, к. 1;46.339141;48.01859
Астрахань, ул.Бориса Алексеева д.32;46.352447;48.073226
Астрахань, ул. Магистральная, д 29;46.413024;47.98493
г. Балаклава, ул.Новикова, д.10г;44.509456;33.599075
г. Балашиха, Первомайский пр-д, д.1;55.792943;37.933869
г. Балашиха, ул. Колхозная, д. 12/2;55.743993;38.020404
г. Балашиха, ул. Ленина, д.8;55.796663;37.933501
г.Балашиха, ул.Лукино, д.55А;55.836297;37.934399
г. Балашиха, ул. Пролетарская, д. 2, корп. 2;55.750478;38.00722
г. Балашиха, ул. Рождественская, д. 4;55.743993;38.003201
г. Балашиха, ул. Свердлова, д.23;55.824106;37.969883
г.Балашиха, ул Ситникова, д.8;55.789881;37.883294
г. Балашиха, ул. Центральная, д. 41;55.75013;37.957136
Балашиха, Косинское шоссе, 7;55.720038;37.973548
Барнаул, пр-т. Красноармейский, д.76;53.340463;83.772032
Барнаул, пр-т. Ленина, д.151;53.37108612;83.75097656
Барнаул, пр-т. Строителей, д.4;53.35445;83.768664
Барнаул, ул. Балтийская, д.38;53.335876;83.675661
Барнаул, ул. Малахова, д. 79;53.358948;83.701623
Барнаул, ул. Попова, д.72;53.368873;83.674161
Барнаул, ул. Юрина, д.202;53.370828;83.689693
346881, Батайск, Авиагородок, 22;47.126051;39.778102
Батайск, ул.Энгельса, д.174;47.139326;39.750397
г. Бахчисарай, ул. Фрунзе, 36;44.746289;33.849579
Белгород, ул.Губкина, д.42е;50.567188;36.575563
Березовский, ул. Восточная, д. 9;56.908271;60.808498
Благовещенск, Игнатьевское ш., д.10/6;50.292867;127.515405
Благовещенск, ул.Амурская, д.208;50.264327;127.521361
Благовещенск, ул.Институтская, д.12;50.298979;127.523131
Благовещенск, ул.Ленина, д.77;50.256184;127.554698
Благовещенск, ул.Островского, д.12;50.2587;127.536435
Боброво, ул. Лесная, д.24к1, пом. 4;55.530735;37.617914
МО, п. Богородское, д. 62;56.494724;38.176091
д. Брехово, мкр. Школьный, корп 12, пом. 2;55.927079;37.198598
Брянск, ул.50 Лет Октября, д.3;53.307283;34.305798
Бутово Бутово-парк 18;55.54563;37.589428
Ватутинки, 6-я Нововатутинская ул., д.1;55.515156;37.352462
Великие Луки, Ленина, д. 43;56.343014;30.523112
Великий Новгород, Псковская д. 16;58.53916;31.261048
г. Видное, ул. Завидная, д.10;55.540648;37.721516
Владивосток, ул. Комсомольская ул. Д. 129;43.118622;131.886293
Владимир, ул.Ленина д.42;56.119213;40.35729
Внииссок, ВНИИССОК, ул. Кленовая, вл.1;55.659333;37.199344
Внуково, МО, Внуковское поселение ул. Омская 16;55.620733;37.26422
г. Волгоград, улица 64-й Армии, 26А;48.612528;44.42391
Вологда, Благовещенская 36;59.221463;39.878758
г. Волоколамск, ул. Ново-Солдатская д.6;56.031176;35.952186
Воркута, ул. Ленина, д. 58в;67.501326;64.065654
Воронеж, пр-т.Ленинский, д.148 ;51.682631;39.262801
Воронеж, пр-т.Ленинский, д.31;51.64343;39.237253
Воронеж, пр-т.Московский, д.82;51.701624;39.182725
Воронеж, Новая Усмань, Ул. Дорожная, д.64Б;51.612655;39.382181
Воронеж, ул.Генерала Лизюкова, д.85;51.704666;39.148841
Воронеж, ул.Моисеева, д.10;51.653003;39.180102
394048, Воронеж, ул. Острогожская, 168У;51.567508;39.12564
г. Воронеж , ул. Сельская 2/1;51.741315;39.320751
Воронеж, ул. Чапаева д. 29, кв. 1;51.695562;39.020435
Воронеж, ул.Юлюса Янониса д.1а;51.65126;39.143621
г. Воскресенск, ул. Советская, д. 15/11;55.323642;38.681259
г.Всеволожск,пр-т.Октябрьский,д.77;60.019238;30.645151
Гаджиево, ул.Колышкина, д.55;69.24908;33.317257
г. Гатчина, ул. Генерала Кныша, д.15;59.558354;30.099141
Геленджик, Ул.Крымская, д.19 Б;44.549329;38.060846
МО, п. Глебовский, ул. Микрорайон, павильон у дома 1;55.938249;36.70951
МО, Голицыно, Привокзальная площадь, 11;55.616362;36.987368
141551, МО, дер. Голубое, ул. Трехсвятская, с2М;55.981419;37.104194
Горки-10, Горки 10, д.19а;55.704098;37.02313
364061, Грозный, ул. Хамзата Орзамиева, 26;43.319586;45.684767
д.Новое Девяткино, ул.Главная, д.56;60.058139;30.480141
г. Дедовск, Ногина, 2;55.860959;37.126975
Джанкой, ул.Ленина, д.44;45.707076;34.398839
г. Дзержинский, ул. Лесная, д.11 ;55.630639;37.85842
г. Дмитров, ул.Загорская, д.30а;56.342206;37.519018
г. Долгопрудный, ул.Набережная, д.29;55.963707;37.523115
г. Долгопрудный, ул.Первомайская, д.9/4;55.931784;37.520069
Домодедово, ул. Корнеева, 1;55.436699;37.773807
г. Домодедово, ул. Курыжова, д. 14, корп. 2;55.398594;37.769486
Домодедово, Лунная 9/1;55.426545;37.757481
д.Дрожжино, ул. Новое шоссе, д.11;55.527362;37.588185
Дубна, пр. Боголюбова,16;56.738749;37.167128
Евпатория, пр-т.Победы, д.26а;45.197024;33.346904
140304, МО, г. Егорьевск, пр. Ленина д.2;55.373168;39.051885
Екатеринбург, пр-т. Космонавтов, д.72;56.901725;60.614839
Екатеринбург, ул. Академика Бардина, д.17;56.805634;60.557338
Екатеринбург, ул. Блюхера, д.18;56.853011;60.645328
Екатеринбург, ул. Боровая, д.19;56.861564;60.646361
Екатеринбург, ул. Грибоедова, д.22;56.754386;60.703143
Екатеринбург, пр-т Ленина 36в;56.796496;60.494303
Екатеринбург, ул. Заводская, д.40;56.831201;60.551562
Екатеринбург, ул. Краснолесье, д.123;56.791246;60.524253
Екатеринбург, ул. Малышева, д.146;56.840956;60.660446
Екатеринбург, ул. Мамина-Сибиряка, д.73;56.848079;60.61527
Екатеринбург, ул. Машиностроителей, д.14;56.88482285;60.57520676
Екатеринбург, Мельникова, 38;56.831723;60.566707
Екатеринбург, ул. Опалихинская, д.27;56.854079;60.559521
Екатеринбург, ул. Пальмиро Тольятти, д.30;56.821705;60.576535
Екатеринбург, ул. Первомайская, д.35;56.843403;60.622717
Екатеринбург, ул. Победы, д.70;56.901184;60.594097
Екатеринбург, ул. Родонитовая, д.3 корп.1;56.792749;60.617812
Екатеринбург, ул. Санаторная, д.5;56.768635;60.611731
Екатеринбург, ул. Сыромолотова, д.24;56.834604;60.68656
Екатеринбург, ул. Таганская, д.3;56.896435;60.641438
Екатеринбург, ул. Тверитина, д.19;56.82234573;60.62986755
Екатеринбург, ул. Учителей, д.4;56.861545;60.632787
Екатеринбург, ул. Щорса, д.52б;56.810078;60.622376
г.Елец,  ул.Орджоникидзе 63;52.616634;38.511576
Жуковский, Королева ул., д.4 с.2;55.60968;38.093304
Жуковский, Фрунзе ул., д.11;55.596402;38.118123
Заполярный, ул.Бабикова, д.14;69.42998;30.82167
г. Звенигород, ул. Московская, д.19/21;55.729686;36.855325
г. Зеленогорск, ул. Ленина, д. 23;60.199307;29.705922
124482, Москва, Зеленоград, 4-й микрорайон, д. 440;55.994456;37.211507
г. Зеленоград, корпус 118;56.006381;37.204581
г. Зеленоград, корп. 1824;55.981931;37.168594
Зеленоград, Георгиевский проспект, 37к2;55.966912;37.150646
г. Ивантеевка, ул. Дзержинского, д. 21;55.969325;37.910531
г.Ивантеевка, ул.Хлебозаводская, д.30;55.971849;37.937409
г. Истра, ул. Босова, д.17;55.910614;36.864982
Калининград, Калиниград, Толбухина, 10;54.706402;20.575292
